variable,dtype,missing_pct,relevance_to_problem
DP04_0127E,int64,0.0,
DP04_0128E,int64,0.0,
DP04_0129E,int64,0.0,
DP04_0130E,int64,0.0,
DP04_0131E,int64,0.0,
DP04_0132E,int64,0.0,
DP04_0133E,int64,0.0,
DP04_0134E,float64,4.85,
DP04_0135E,int64,0.0,
DP04_0136E,int64,0.0,
DP04_0137E,int64,0.0,
DP04_0138E,int64,0.0,
DP04_0139E,int64,0.0,
DP04_0140E,int64,0.0,
DP04_0141E,int64,0.0,
DP04_0142E,int64,0.0,
DP04_0143E,int64,0.0,
FUNCSTAT,object,0.0,
GEOID,int64,0.0,
GEOIDFQ,object,0.0,
GIS_ID,object,0.0,
GLOBALID,object,0.0,
INTPTLAT,float64,0.0,
INTPTLON,float64,0.0,
MTFCC,object,0.0,
NAME,float64,0.0,
NAMELSAD,object,0.0,
OBJECTID,int64,0.0,
SE_ANNO_CAD_DATA,float64,100.0,
SHAPEAREA,int64,0.0,
SHAPELEN,int64,0.0,
STATEFP,int64,0.0,
TRACTCE,int64,0.0,
bed_0_share,float64,0.97,
bed_1_share,float64,0.97,
bed_2_share,float64,0.97,
bed_3_share,float64,0.97,
bed_4_share,float64,0.97,
bed_5p_share,float64,0.97,
owner_share,float64,0.97,
